Task Index,State,Timestamp
0,1,27759
0,0,27759
0,1,27782
0,0,27782
1,1,27785
1,0,27785
2,1,27785
2,0,27785
0,1,27790
0,0,27790
0,1,27813
0,0,27813
0,1,27836
0,0,27836
0,1,27859
0,0,27859
1,1,27880
1,0,27880
0,1,27880
0,0,27880
2,1,27880
2,0,27880
0,1,27903
0,0,27903
0,1,27926
0,0,27926
0,1,27949
0,0,27949
0,1,27972
0,0,27972
1,1,27975
1,0,27975
2,1,27975
2,0,27975
0,1,27975
0,0,27975
0,1,27998
0,0,27998
0,1,28021
0,0,28021
0,1,28044
0,0,28044
0,1,28067
0,0,28067
1,1,28070
1,0,28070
2,1,28070
2,0,28070
0,1,28070
0,0,28070
0,1,28093
0,0,28093
0,1,28116
0,0,28116
0,1,28139
0,0,28139
0,1,28162
0,0,28162
1,1,28165
1,0,28165
2,1,28165
2,0,28165
0,1,28170
0,0,28170
0,1,28193
0,0,28193
0,1,28216
0,0,28216
0,1,28239
0,0,28239
1,1,28260
1,0,28260
0,1,28260
0,0,28260
2,1,28260
2,0,28260
0,1,28283
0,0,28283
0,1,28306
0,0,28306
0,1,28329
0,0,28329
0,1,28473
0,0,28473
0,1,28496
0,0,28496
0,1,28519
0,0,28519
0,1,28542
0,0,28542
1,1,28545
1,0,28545
2,1,28545
2,0,28545
0,1,28551
0,0,28551
0,1,28573
0,0,28573
0,1,28596
0,0,28596
0,1,28619
0,0,28619
1,1,28640
1,0,28640
0,1,28640
0,0,28640
2,1,28640
2,0,28640
0,1,28663
0,0,28663
0,1,28686
0,0,28686
0,1,28709
0,0,28709
0,1,28732
0,0,28732
1,1,28735
1,0,28735
2,1,28735
2,0,28735
0,1,28735
0,0,28735
0,1,28758
0,0,28758
0,1,28781
0,0,28781
0,1,28804
0,0,28804
0,1,28827
0,0,28827
1,1,28830
1,0,28830
2,1,28830
2,0,28830
0,1,28830
0,0,28830
0,1,28853
0,0,28853
0,1,28876
0,0,28876
0,1,28899
0,0,28899
0,1,28922
0,0,28922
1,1,28925
1,0,28925
2,1,28925
2,0,28925
0,1,28930
0,0,28930
0,1,28953
0,0,28953
0,1,28976
0,0,28976
0,1,28999
0,0,28999
1,1,29020
1,0,29020
0,1,29020
0,0,29020
2,1,29020
2,0,29020
0,1,29043
0,0,29043
0,1,29066
0,0,29066
0,1,29089
0,0,29089
0,1,29112
0,0,29112
2,1,29115
2,0,29115
1,1,29115
1,0,29115
0,1,29115
0,0,29115
0,1,29138
0,0,29138
0,1,29161
0,0,29161
0,1,29184
0,0,29184
0,1,29207
0,0,29207
1,1,29210
1,0,29210
2,1,29210
2,0,29210
0,1,29210
0,0,29210
0,1,29233
0,0,29233
0,1,29256
0,0,29256
0,1,29279
0,0,29279
0,1,29302
0,0,29302
1,1,29305
1,0,29305
2,1,29305
2,0,29305
0,1,29310
0,0,29310
0,1,29333
0,0,29333
0,1,29356
0,0,29356
0,1,29379
0,0,29379
1,1,29400
1,0,29400
0,1,29400
0,0,29400
2,1,29400
2,0,29400
0,1,29423
0,0,29423
0,1,29446
0,0,29446
0,1,29469
0,0,29469
0,1,29492
0,0,29492
1,1,29495
1,0,29495
2,1,29495
2,0,29495
0,1,29495
0,0,29495
0,1,29518
0,0,29518
0,1,29541
0,0,29541
0,1,29564
0,0,29564
0,1,29587
0,0,29587
1,1,29590
1,0,29590
2,1,29590
2,0,29590
0,1,29590
0,0,29590
0,1,29613
0,0,29613
0,1,29636
0,0,29636
0,1,29659
0,0,29659
0,1,29682
0,0,29682
1,1,29685
1,0,29685
2,1,29685
2,0,29685
0,1,29690
0,0,29690
0,1,29713
0,0,29713
0,1,29736
0,0,29736
0,1,29759
0,0,29759
1,1,29780
1,0,29780
0,1,29780
0,0,29780
2,1,29780
2,0,29780
0,1,29803
0,0,29803
0,1,29826
0,0,29826
0,1,29849
0,0,29849
0,1,29872
0,0,29872
1,1,29875
1,0,29875
2,1,29875
2,0,29875
0,1,29875
0,0,29875
0,1,29898
0,0,29898
0,1,29921
0,0,29921
0,1,29944
0,0,29944
0,1,29967
0,0,29967
1,1,29970
1,0,29970
2,1,29970
2,0,29970
0,1,29970
0,0,29970
0,1,29993
0,0,29993
0,1,30016
0,0,30016
0,1,30039
0,0,30039
0,1,30062
0,0,30062
1,1,30065
1,0,30065
2,1,30065
2,0,30065
0,1,30070
0,0,30070
0,1,30093
0,0,30093
0,1,30116
0,0,30116
0,1,30139
0,0,30139
1,1,30160
1,0,30160
0,1,30160
0,0,30160
2,1,30160
2,0,30160
0,1,30183
0,0,30183
0,1,30206
0,0,30206
0,1,30229
0,0,30229
0,1,30373
0,0,30373
0,1,30396
0,0,30396
0,1,30419
0,0,30419
0,1,30442
0,0,30442
1,1,30445
1,0,30445
2,1,30445
2,0,30445
0,1,30451
0,0,30451
0,1,30473
0,0,30473
0,1,30496
0,0,30496
0,1,30519
0,0,30519
1,1,30540
1,0,30540
0,1,30540
0,0,30540
2,1,30540
2,0,30540
0,1,30563
0,0,30563
0,1,30586
0,0,30586
0,1,30609
0,0,30609
0,1,30632
0,0,30632
1,1,30635
1,0,30635
2,1,30635
2,0,30635
0,1,30635
0,0,30635
0,1,30658
0,0,30658
