Task Index,State,Timestamp
0,1,16474554
0,0,16474560
2,1,16477361
2,0,16477369
1,1,16477422
1,0,16477429
0,1,16477543
0,0,16477549
0,1,16500565
0,0,16500572
0,1,16523553
0,0,16523559
0,1,16546553
0,0,16546559
0,1,16569553
0,0,16569559
2,1,16572361
2,0,16572369
1,1,16572416
1,0,16572423
0,1,16572555
0,0,16572561
0,1,16595556
0,0,16595561
0,1,16618553
0,0,16618559
0,1,16641553
0,0,16641559
0,1,16664553
0,0,16664559
2,1,16667361
2,0,16667369
1,1,16667416
1,0,16667423
0,1,16672496
0,0,16672502
0,1,16695556
0,0,16695561
0,1,16718553
0,0,16718559
0,1,16741553
0,0,16741559
2,1,16762361
2,0,16762369
1,1,16762503
1,0,16762510
0,1,16762540
0,0,16762546
0,1,16785556
0,0,16785561
0,1,16808566
0,0,16808573
0,1,16831553
0,0,16831559
0,1,16854554
0,0,16854560
2,1,16857360
2,0,16857367
1,1,16857424
1,0,16857432
0,1,16857562
0,0,16857568
0,1,16880556
0,0,16880561
0,1,16903553
0,0,16903559
0,1,16926553
0,0,16926559
0,1,16949553
0,0,16949559
2,1,16952360
2,0,16952367
1,1,16952410
1,0,16952417
0,1,17054544
0,0,17054550
0,1,17077556
0,0,17077561
0,1,17100553
0,0,17100559
0,1,17123553
0,0,17123559
2,1,17142361
2,0,17142368
1,1,17142502
1,0,17142509
0,1,17142541
0,0,17142547
0,1,17165554
0,0,17165560
0,1,17188553
0,0,17188559
0,1,17211553
0,0,17211559
0,1,17234553
0,0,17234559
2,1,17237362
2,0,17237371
1,1,17237413
1,0,17237420
0,1,17237548
0,0,17237554
0,1,17260554
0,0,17260560
0,1,17283553
0,0,17283559
0,1,17306553
0,0,17306559
0,1,17329553
0,0,17329559
2,1,17332362
2,0,17332371
1,1,17332411
1,0,17332418
0,1,17332546
0,0,17332552
0,1,17355554
0,0,17355560
0,1,17378553
0,0,17378559
0,1,17401553
0,0,17401559
0,1,17424553
0,0,17424559
2,1,17427362
2,0,17427371
1,1,17427413
1,0,17427420
0,1,17432496
0,0,17432502
0,1,17455557
0,0,17455563
0,1,17478553
0,0,17478559
0,1,17501553
0,0,17501559
2,1,17522362
2,0,17522371
1,1,17522504
1,0,17522511
0,1,17522542
0,0,17522548
0,1,17545556
0,0,17545561
0,1,17568554
0,0,17568560
0,1,17591553
0,0,17591559
0,1,17614569
0,0,17614575
2,1,17617361
2,0,17617368
1,1,17617428
1,0,17617436
0,1,17617564
0,0,17617570
0,1,17640554
0,0,17640560
0,1,17663554
0,0,17663560
0,1,17686553
0,0,17686559
0,1,17709553
0,0,17709559
2,1,17712365
2,0,17712374
1,1,17712395
1,0,17712403
0,1,17712616
0,0,17712622
0,1,17735556
0,0,17735561
0,1,17758554
0,0,17758560
0,1,17781553
0,0,17781559
0,1,17804553
0,0,17804559
2,1,17807361
2,0,17807368
1,1,17807411
1,0,17807418
0,1,17812496
0,0,17812502
0,1,17835556
0,0,17835561
0,1,17858560
0,0,17858566
0,1,17881556
0,0,17881561
2,1,17902362
2,0,17902369
1,1,17902502
1,0,17902510
0,1,17902541
0,0,17902547
0,1,17925556
0,0,17925561
0,1,17948553
0,0,17948559
0,1,17971554
0,0,17971560
0,1,17994553
0,0,17994559
2,1,17997362
2,0,17997371
1,1,17997411
1,0,17997418
0,1,17997550
0,0,17997556
0,1,18020556
0,0,18020561
0,1,18043553
0,0,18043559
0,1,18066554
0,0,18066560
0,1,18089553
0,0,18089559
2,1,18092362
2,0,18092370
1,1,18092409
1,0,18092416
0,1,18092547
0,0,18092553
0,1,18115556
0,0,18115561
0,1,18138553
0,0,18138559
0,1,18161554
0,0,18161560
0,1,18184553
0,0,18184559
2,1,18187361
2,0,18187368
1,1,18187414
1,0,18187422
0,1,18192496
0,0,18192502
0,1,18215556
0,0,18215561
0,1,18238553
0,0,18238559
0,1,18261553
0,0,18261559
2,1,18282361
2,0,18282369
1,1,18282502
1,0,18282510
0,1,18282540
0,0,18282546
0,1,18305556
0,0,18305561
0,1,18328553
0,0,18328559
0,1,18351553
0,0,18351559
0,1,18374554
0,0,18374560
2,1,18377362
2,0,18377371
1,1,18377418
1,0,18377425
0,1,18377540
0,0,18377546
0,1,18400556
0,0,18400561
0,1,18423553
0,0,18423559
0,1,18446560
0,0,18446566
0,1,18469554
0,0,18469560
2,1,18472362
2,0,18472371
1,1,18472424
1,0,18472431
0,1,18472564
0,0,18472570
0,1,18495556
0,0,18495561
0,1,18518553
0,0,18518559
0,1,18541553
0,0,18541559
0,1,18564560
0,0,18564566
1,1,18567365
1,0,18567386
2,1,18567417
2,0,18567427
0,1,18572496
0,0,18572502
0,1,18595556
0,0,18595561
0,1,18618553
0,0,18618559
0,1,18641553
0,0,18641559
2,1,18662361
2,0,18662368
1,1,18662504
1,0,18662512
0,1,18662543
0,0,18662549
0,1,18685554
0,0,18685560
0,1,18708553
0,0,18708559
0,1,18731553
0,0,18731559
0,1,18755335
0,0,18755347
2,1,18757366
2,0,18757376
1,1,18757434
1,0,18757441
0,1,18758371
0,0,18758377
0,1,18781556
0,0,18781561
0,1,18804553
0,0,18804559
0,1,18827553
0,0,18827559
0,1,18850553
0,0,18850559
1,1,18852748
1,0,18852756
2,1,18852854
2,0,18852864
0,1,18953247
0,0,18953253
0,1,18976556
0,0,18976561
0,1,18999553
0,0,18999559
0,1,19022553
0,0,19022559
2,1,19042362
2,0,19042371
1,1,19042502
1,0,19042509
0,1,19042540
0,0,19042546
0,1,19065554
0,0,19065560
0,1,19088553
0,0,19088559
0,1,19111553
0,0,19111559
0,1,19134553
0,0,19134559
2,1,19137361
2,0,19137370
1,1,19137411
1,0,19137420
0,1,19137548
0,0,19137554
0,1,19160556
0,0,19160561
0,1,19183553
0,0,19183559
0,1,19206553
0,0,19206559
0,1,19229553
0,0,19229559
2,1,19232361
2,0,19232368
1,1,19232412
1,0,19232419
0,1,19232550
0,0,19232556
0,1,19255554
0,0,19255560
0,1,19278553
0,0,19278559
0,1,19301553
0,0,19301559
0,1,19324553
0,0,19324559
2,1,19327362
2,0,19327371
1,1,19327418
1,0,19327426
0,1,19332496
0,0,19332502
0,1,19355557
0,0,19355563
0,1,19378553
0,0,19378559
0,1,19401553
0,0,19401559
2,1,19422362
2,0,19422371
1,1,19422502
1,0,19422510
0,1,19422541
0,0,19422547
0,1,19445554
0,0,19445560
0,1,19468554
0,0,19468560
0,1,19491553
0,0,19491559
0,1,19514553
0,0,19514559
2,1,19517362
2,0,19517371
1,1,19517411
1,0,19517418
0,1,19517549
0,0,19517555
0,1,19540556
0,0,19540561
0,1,19563554
0,0,19563560
0,1,19586553
0,0,19586559
0,1,19609553
0,0,19609559
2,1,19612360
2,0,19612369
1,1,19612402
1,0,19612409
0,1,19612624
0,0,19612630
0,1,19635556
0,0,19635561
0,1,19658554
0,0,19658560
0,1,19681553
0,0,19681559
0,1,19704553
0,0,19704559
2,1,19707361
2,0,19707368
1,1,19707413
1,0,19707422
0,1,19712496
0,0,19712502
0,1,19735556
0,0,19735561
0,1,19758554
0,0,19758560
0,1,19781553
0,0,19781559
2,1,19802362
2,0,19802369
1,1,19802501
1,0,19802508
0,1,19802540
0,0,19802546
0,1,19825556
0,0,19825561
0,1,19848553
0,0,19848559
0,1,19871554
0,0,19871560
0,1,19894553
0,0,19894559
2,1,19897361
2,0,19897368
1,1,19897413
1,0,19897422
0,1,19897541
0,0,19897547
0,1,19920556
0,0,19920561
0,1,19943553
0,0,19943559
0,1,19966554
0,0,19966560
0,1,19989553
0,0,19989559
2,1,19992361
2,0,19992368
1,1,19992410
1,0,19992417
0,1,19992547
0,0,19992552
0,1,20015556
0,0,20015561
0,1,20038553
0,0,20038559
0,1,20061565
0,0,20061572
0,1,20084568
0,0,20084573
2,1,20087363
2,0,20087371
1,1,20087442
1,0,20087450
0,1,20092496
0,0,20092502
0,1,20115556
0,0,20115561
0,1,20138553
0,0,20138559
0,1,20161554
0,0,20161560
2,1,20182361
2,0,20182370
1,1,20182505
1,0,20182512
0,1,20182544
0,0,20182550
0,1,20205556
0,0,20205561
0,1,20228553
0,0,20228559
0,1,20251553
0,0,20251559
0,1,20274553
0,0,20274559
2,1,20277361
2,0,20277369
1,1,20277413
1,0,20277422
0,1,20277550
0,0,20277555
0,1,20300556
0,0,20300561
0,1,20323553
0,0,20323559
0,1,20346553
0,0,20346559
0,1,20369560
0,0,20369566
1,1,20372364
1,0,20372386
2,1,20372416
2,0,20372426
0,1,20372588
0,0,20372594
0,1,20395556
0,0,20395561
0,1,20418553
0,0,20418559
0,1,20441553
0,0,20441559
0,1,20464553
0,0,20464559
2,1,20467358
2,0,20467365
1,1,20467409
1,0,20467416
0,1,20472496
0,0,20472502
0,1,20495565
0,0,20495572
0,1,20518553
0,0,20518559
0,1,20541553
0,0,20541559
2,1,20562362
2,0,20562369
1,1,20562501
1,0,20562510
0,1,20562541
0,0,20562547
0,1,20585555
0,0,20585560
0,1,20608553
0,0,20608559
0,1,20631553
0,0,20631559
0,1,20654562
0,0,20654569
2,1,20657363
2,0,20657371
1,1,20657390
1,0,20657397
0,1,20657603
0,0,20657609
0,1,20680556
0,0,20680561
0,1,20703553
0,0,20703559
0,1,20726553
0,0,20726559
0,1,20749553
0,0,20749559
2,1,20752362
2,0,20752369
1,1,20752413
1,0,20752420
0,1,20854498
0,0,20854504
0,1,20877557
0,0,20877563
0,1,20900560
0,0,20900566
0,1,20923553
0,0,20923559
2,1,20942361
2,0,20942368
1,1,20942505
1,0,20942512
0,1,20942544
0,0,20942549
0,1,20965556
0,0,20965561
0,1,20988553
0,0,20988559
0,1,21011553
0,0,21011559
0,1,21034567
0,0,21034573
2,1,21037362
2,0,21037369
1,1,21037424
1,0,21037431
0,1,21037541
0,0,21037547
0,1,21060556
0,0,21060561
0,1,21083553
0,0,21083559
0,1,21106553
0,0,21106559
0,1,21129553
0,0,21129559
2,1,21132361
2,0,21132368
1,1,21132411
1,0,21132418
0,1,21132546
0,0,21132552
0,1,21155556
0,0,21155561
0,1,21178553
0,0,21178559
0,1,21201553
0,0,21201559
0,1,21224553
0,0,21224559
2,1,21227361
2,0,21227368
1,1,21227407
1,0,21227415
0,1,21232496
0,0,21232502
0,1,21255571
0,0,21255577
0,1,21278553
0,0,21278559
0,1,21301553
0,0,21301559
2,1,21322362
2,0,21322371
1,1,21322501
1,0,21322508
0,1,21322540
0,0,21322546
0,1,21345554
0,0,21345560
0,1,21368554
0,0,21368560
0,1,21391553
0,0,21391559
0,1,21414553
0,0,21414559
2,1,21417364
2,0,21417374
1,1,21417389
1,0,21417396
0,1,21417606
0,0,21417612
0,1,21440554
0,0,21440560
0,1,21463554
0,0,21463560
0,1,21486553
0,0,21486559
0,1,21509553
0,0,21509559
2,1,21512363
2,0,21512371
1,1,21512412
1,0,21512420
0,1,21512550
0,0,21512556
0,1,21535556
0,0,21535561
0,1,21558554
0,0,21558560
0,1,21581553
0,0,21581559
0,1,21604553
0,0,21604559
2,1,21607361
2,0,21607368
1,1,21607410
1,0,21607417
0,1,21612496
0,0,21612502
0,1,21635556
0,0,21635561
0,1,21658554
0,0,21658560
0,1,21681553
0,0,21681559
2,1,21702360
2,0,21702367
1,1,21702501
1,0,21702508
0,1,21702539
0,0,21702545
0,1,21725556
0,0,21725561
0,1,21748553
0,0,21748559
0,1,21771554
0,0,21771560
0,1,21794553
0,0,21794559
2,1,21797361
2,0,21797368
1,1,21797411
1,0,21797418
0,1,21797548
0,0,21797553
0,1,21820556
0,0,21820561
0,1,21843553
0,0,21843559
0,1,21866554
0,0,21866560
0,1,21889553
0,0,21889559
2,1,21892361
2,0,21892368
1,1,21892409
1,0,21892416
0,1,21892545
0,0,21892551
0,1,21915556
0,0,21915561
0,1,21938553
0,0,21938559
0,1,21961554
0,0,21961560
0,1,21984553
0,0,21984559
2,1,21987361
2,0,21987368
1,1,21987408
1,0,21987416
0,1,21992496
0,0,21992502
0,1,22015556
0,0,22015561
0,1,22038553
0,0,22038559
0,1,22061567
0,0,22061573
2,1,22082362
2,0,22082369
1,1,22082504
1,0,22082511
0,1,22082542
0,0,22082548
0,1,22105556
0,0,22105561
0,1,22128553
0,0,22128559
0,1,22151553
0,0,22151559
0,1,22174553
0,0,22174559
2,1,22177361
2,0,22177368
1,1,22177416
1,0,22177423
0,1,22177552
0,0,22177558
0,1,22200556
0,0,22200561
0,1,22223553
0,0,22223559
0,1,22246553
0,0,22246559
0,1,22269553
0,0,22269559
2,1,22272361
2,0,22272369
1,1,22272416
1,0,22272423
0,1,22272554
0,0,22272560
0,1,22295556
0,0,22295561
0,1,22318553
0,0,22318559
0,1,22341553
0,0,22341559
0,1,22364553
0,0,22364559
2,1,22367362
2,0,22367371
1,1,22367415
1,0,22367423
0,1,22372496
0,0,22372502
0,1,22395556
0,0,22395561
0,1,22418553
0,0,22418559
0,1,22441553
0,0,22441559
2,1,22462361
2,0,22462369
1,1,22462502
1,0,22462511
0,1,22462542
0,0,22462548
0,1,22485554
0,0,22485560
0,1,22508553
0,0,22508559
0,1,22531553
0,0,22531559
0,1,22554690
0,0,22554698
2,1,22557365
2,0,22557374
1,1,22557399
1,0,22557406
0,1,22557721
0,0,22557727
0,1,22580556
0,0,22580561
0,1,22603553
0,0,22603559
0,1,22626553
0,0,22626559
0,1,22649553
0,0,22649559
2,1,22652363
2,0,22652371
1,1,22652410
1,0,22652418
0,1,22753252
0,0,22753258
0,1,22775556
0,0,22775561
0,1,22798553
0,0,22798559
0,1,22821564
0,0,22821574
2,1,22842363
2,0,22842371
1,1,22842505
1,0,22842511
0,1,22842542
0,0,22842548
0,1,22865559
0,0,22865565
0,1,22888553
0,0,22888559
0,1,22911553
0,0,22911559
0,1,22934553
0,0,22934559
2,1,22937362
2,0,22937371
1,1,22937413
1,0,22937422
0,1,22937553
0,0,22937559
0,1,22960554
0,0,22960560
0,1,22983553
0,0,22983559
0,1,23006553
0,0,23006559
0,1,23029553
0,0,23029559
2,1,23032362
2,0,23032371
1,1,23032411
1,0,23032418
0,1,23032548
0,0,23032553
0,1,23055556
0,0,23055561
0,1,23078553
0,0,23078559
0,1,23101553
0,0,23101559
0,1,23124553
0,0,23124559
2,1,23127361
2,0,23127368
1,1,23127412
1,0,23127419
0,1,23132496
0,0,23132502
0,1,23155557
0,0,23155563
0,1,23178553
0,0,23178559
0,1,23201553
0,0,23201559
2,1,23222362
2,0,23222371
1,1,23222502
1,0,23222510
0,1,23222541
0,0,23222547
0,1,23245554
0,0,23245560
0,1,23268554
0,0,23268560
0,1,23291553
0,0,23291559
0,1,23314553
0,0,23314559
2,1,23317362
2,0,23317371
1,1,23317411
1,0,23317418
0,1,23317548
0,0,23317554
0,1,23340554
0,0,23340560
0,1,23363554
0,0,23363560
0,1,23386553
0,0,23386559
0,1,23409553
0,0,23409559
2,1,23412362
2,0,23412371
1,1,23412411
1,0,23412418
0,1,23412551
0,0,23412557
0,1,23435556
0,0,23435561
0,1,23458554
0,0,23458560
0,1,23481553
0,0,23481559
0,1,23504553
0,0,23504559
2,1,23507361
2,0,23507368
1,1,23507411
1,0,23507418
0,1,23512496
0,0,23512502
0,1,23535556
0,0,23535561
0,1,23558569
0,0,23558575
0,1,23581553
0,0,23581559
2,1,23602363
2,0,23602370
1,1,23602501
1,0,23602508
0,1,23602540
0,0,23602546
0,1,23625556
0,0,23625561
0,1,23648553
0,0,23648559
0,1,23671554
0,0,23671560
0,1,23694553
0,0,23694559
2,1,23697361
2,0,23697368
1,1,23697409
1,0,23697416
0,1,23697548
0,0,23697554
0,1,23720556
0,0,23720561
0,1,23743553
0,0,23743559
0,1,23766554
0,0,23766560
0,1,23789553
0,0,23789559
2,1,23792362
2,0,23792370
1,1,23792409
1,0,23792416
0,1,23792549
0,0,23792554
0,1,23815556
0,0,23815561
0,1,23838553
0,0,23838559
0,1,23861554
0,0,23861560
0,1,23884553
0,0,23884559
2,1,23887361
2,0,23887368
1,1,23887408
1,0,23887416
0,1,23892496
0,0,23892502
0,1,23915556
0,0,23915561
0,1,23938553
0,0,23938559
0,1,23961554
0,0,23961560
2,1,23982361
2,0,23982368
1,1,23982503
1,0,23982510
0,1,23982541
0,0,23982547
0,1,24005556
0,0,24005561
0,1,24028553
0,0,24028559
0,1,24051553
0,0,24051559
0,1,24074553
0,0,24074559
2,1,24077362
2,0,24077371
1,1,24077414
1,0,24077422
0,1,24077552
0,0,24077558
0,1,24100554
0,0,24100560
0,1,24123553
0,0,24123559
0,1,24146553
0,0,24146559
0,1,24169554
0,0,24169560
2,1,24172362
2,0,24172371
1,1,24172427
1,0,24172434
0,1,24172563
0,0,24172569
0,1,24195556
0,0,24195561
0,1,24218553
0,0,24218559
0,1,24241553
0,0,24241559
0,1,24264553
0,0,24264559
2,1,24267361
2,0,24267369
1,1,24267417
1,0,24267424
0,1,24272496
0,0,24272502
0,1,24295556
0,0,24295561
0,1,24318553
0,0,24318559
0,1,24341553
0,0,24341559
2,1,24362361
2,0,24362369
1,1,24362502
1,0,24362511
0,1,24362542
0,0,24362548
0,1,24385564
0,0,24385571
0,1,24408553
0,0,24408559
0,1,24431553
0,0,24431559
0,1,24556435
0,0,24556443
0,1,24579556
0,0,24579561
0,1,24602553
0,0,24602559
0,1,24625553
0,0,24625559
2,1,24647362
2,0,24647371
1,1,24647502
1,0,24647510
0,1,24647540
0,0,24647546
0,1,24670554
0,0,24670560
0,1,24693553
0,0,24693559
0,1,24716553
0,0,24716559
0,1,24739553
0,0,24739559
2,1,24742362
2,0,24742371
1,1,24742411
1,0,24742418
0,1,24742546
0,0,24742552
0,1,24765554
0,0,24765560
0,1,24788553
0,0,24788559
0,1,24811553
0,0,24811559
0,1,24834553
0,0,24834559
2,1,24837362
2,0,24837371
1,1,24837411
1,0,24837418
0,1,24837545
0,0,24837551
0,1,24860556
0,0,24860561
0,1,24883553
0,0,24883559
0,1,24906553
0,0,24906559
0,1,24929553
0,0,24929559
2,1,24932360
2,0,24932367
1,1,24932412
1,0,24932420
0,1,24932545
0,0,24932551
0,1,24955566
0,0,24955572
0,1,24978553
0,0,24978559
0,1,25001553
0,0,25001559
0,1,25024553
0,0,25024559
2,1,25027363
2,0,25027371
1,1,25027413
1,0,25027422
0,1,25032496
0,0,25032502
0,1,25055557
0,0,25055563
0,1,25078553
0,0,25078559
0,1,25101553
0,0,25101559
2,1,25122362
2,0,25122371
1,1,25122502
1,0,25122510
0,1,25122541
0,0,25122547
0,1,25145554
0,0,25145560
0,1,25168554
0,0,25168560
0,1,25191553
0,0,25191559
0,1,25214553
0,0,25214559
1,1,25217416
1,0,25217424
0,1,25217566
0,0,25217579
2,1,25217595
2,0,25217604
0,1,25240554
0,0,25240560
0,1,25358560
0,0,25358566
0,1,25381556
0,0,25381561
0,1,25404553
0,0,25404559
2,1,25407361
2,0,25407368
1,1,25407423
1,0,25407431
0,1,25412496
0,0,25412502
0,1,25435556
0,0,25435561
0,1,25458553
0,0,25458559
0,1,25481553
0,0,25481559
2,1,25502358
2,0,25502365
1,1,25502499
1,0,25502506
0,1,25502536
0,0,25502542
0,1,25525554
0,0,25525560
0,1,25548553
0,0,25548559
0,1,25571554
0,0,25571560
